,VPN Usage (hours per week),SIM Card Changes,Trading Accounts,Recharge Frequency,Dependents,Streaming Services,Payment Delay of Streaming Services (per year),Family Defaulters,Smart Cards,Medical Bills,Default in GST filing (per quarter),Antivirus Subscriptions,Shopping Behavior (returns per month),Utility Bills (per month),Registered Vehicles,Registered Vehicles Challan (per year),Certificates,Licenses,Insurances,FDs Dissolved,International Transactions,Public Memberships,Pet Bills (per year),Accounts,UPI Failures
0,10.67,2.0,2.0,1.0,1.0,4.0,0.0,2.0,2.0,16770.6,0.0,1.0,2.0,7937.0,0.0,1.0,0.0,0.0,2.0,0.6740585565567017,4.0,0.0,32024.1,0.0,27.24310302734375
1,12.78,1.0,1.0,1.0,3.0,2.0,3.0,4.0,2.0,2775.3,1.0,1.0,0.0,8867.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,29937.4,1.0,51.0
2,7.75,3.0,1.0,2.0,4.0,3.0,2.0,5.0,3.0,5064.5,1.0,2.0,1.0,7134.0,1.0,1.0,2.0,1.0,1.0,1.0,9.0,0.0,86098.3,3.0,16.0
3,5.96,2.0,1.0,1.0,4.0,3.0,1.0,5.0,3.0,11090.5,1.0,1.0,2.0,13257.0,0.0,0.0,0.0,1.0,1.0,1.0,10.0,0.0,63615.6,2.0,26.0
4,6.29,2.0,1.0,1.0,4.0,2.0,1.0,3.0,3.0,8435.1,0.0,1.0,0.0,10961.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,910.1,2.141496419906616,39.0
5,10.14,1.0,2.0,1.0,6.0,1.0,3.0,4.0,3.0,9327.9,1.0,2.0,1.0,10908.0,1.0,0.0,0.0,1.0,2.0,1.0,10.0,0.0,39041.9,1.0,31.0
6,8.78,1.0,2.0,2.0,7.0,2.0,3.0,2.0,3.0,6602.5,1.0,1.0,0.0,6530.0,0.0,0.0,0.0,1.0,0.0,0.0,22.0,0.0,26920.2,0.0,24.0
7,7.98,1.0,2.0,3.0,2.0,4.0,2.0,0.0,2.0,10061.3,0.0,1.0,0.0,11247.0,1.0,0.0,0.0,1.0,1.0,0.0,28.0,0.0,54285.0,3.0,17.0
8,4.92,1.0,1.0,3.0,2.0,4.0,0.0,0.0,3.0,2962.7,2.0,1.0,0.0,11441.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,28668.8,2.0,49.0
9,12.67,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,4498.9,1.0,1.0,0.6960264444351196,3262.0,1.0,0.0,1.0,0.0,2.0,0.0,5.0,0.0,30781.0,2.0,39.0
10,11.17,0.0,0.0,2.0,3.0,4.0,2.0,1.0,1.0,631.2,0.0,1.0,1.0,7716.0,1.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,14167.6,2.0,27.0
11,4.03,2.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,7627.1,1.0,0.0,0.0,12990.0,1.0,1.0,1.0,1.0,3.0,0.0,5.0,0.0,19891.8,0.0,13.0
